id,publication_year,cited_by_count,author_ids
W2148723039,2013.0,39,A5070087823|A5059562859|A5040871912|A5046449396
W257346492,2014.0,39,A5018108132|A5081614562
W2212083538,2013.0,37,A5050961647|A5018108132
W2171566025,2008.0,33,A5046551525|A5027792187|A5018108132
W2534760854,2009.0,32,A5040799517|A5047768207|A5038201807|A5070801173|A5063354832|A5032482559|A5059301263|A5047114965
W2064599189,2010.0,29,A5073180325|A5011228873|A5021346979
W2158526526,2009.0,26,A5014647140|A5011256345
W2741466057,2017.0,26,A5112135278|A5018108132
W2583123887,2017.0,25,A5017662253|A5030229074|A5008132739|A5114376662|A5036657395
W2733253823,2017.0,23,A5022023580|A5063354832|A5070801173|A5032482559
W1979937361,2010.0,22,A5008132739|A5072428539
W2952762040,2019.0,21,A5039995516|A5042474249
W2512026954,2016.0,19,A5057945477|A5087209063|A5089862218|A5061900944|A5037935415
W2170881157,2012.0,18,A5062479191|A5027792187|A5065077550|A5046551525|A5018108132
W2312590532,2014.0,17,A5008132739|A5003911982|A5009867346|A5052673982|A5073831202
W2188021097,2014.0,16,A5046561315|A5064296964|A5033977409|A5038699799|A5073189960|A5103326255
W3125450876,2014.0,16,A5070087823|A5059562859|A5046449396
W4214625973,2022.0,16,A5048106372|A5008305485|A5011536590|A5008132739|A5036657395|A5008052793|A5058226396|A5070784989|A5053906209
W4309672241,2022.0,15,A5011588754|A5048181040|A5054519023|A5055446394|A5027079032|A5014647140
W1954569338,2015.0,14,A5061945368|A5065919650|A5018108132
W2011061822,2015.0,14,A5043400977|A5035967681|A5038532934|A5103180781|A5088610310
W2472713223,2017.0,14,A5011822190|A5046449396
W2971136585,2019.0,14,A5069179682|A5011228873|A5060932978|A5051629081
W3011549741,2020.0,14,A5061945368|A5081241202|A5018108132
W3121602160,2017.0,14,A5083494527|A5053294269|A5046449396
W3162291683,2020.0,13,A5064296964|A5071294124|A5000679279
W3197997196,2021.0,13,A5017294689|A5032482559|A5064957730
W2271753538,2016.0,12,A5048132210|A5027079032|A5014647140
W2950126332,2019.0,12,A5040544895|A5032482559|A5063009807|A5076198856|A5014171363|A5064422833|A5059301263
W3196668268,2021.0,12,A5039995516|A5013338448|A5002732360|A5024799204
W4229029466,2022.0,12,A5039977048|A5032482559|A5059301263|A5089425147|A5080607353
W2475189117,1995.0,47,A5018108132
W4388150933,1994.0,46,A5000415140|A5018108132
W146020391,1998.0,33,A5018108132|A5084074695
W2026509716,1999.0,31,A5084074695|A5018108132
W1979552100,2006.0,26,A5072428539|A5008132739
W2025272115,2004.0,24,A5032482559|A5027706684|A5059301263
W4295332173,2012.0,23,A5018108132|A5043471979
W1602488901,2014.0,19,A5037611969|A5018098888|A5074416333|A5014647140
W2033180597,2014.0,19,A5039995516
W2060024274,2012.0,19,A5049388099|A5067493080|A5024909577|A5075028512
W2963336820,2013.0,18,A5089425147|A5032482559|A5059301263
W1200102662,2015.0,16,A5080304748|A5061945368|A5018108132
W4243727671,2017.0,14,A5039995516
W2004939650,2010.0,13,A5014647140|A5000038347|A5032779977
W2362242061,2016.0,13,A5036542864|A5008132739|A5002025732|A5003911982
W3094573659,2020.0,13,A5101517875|A5082717327|A5039995516
W2935758972,2019.0,12,A5048132210|A5000331865|A5073662865|A5014647140
W2273776087,2017.0,11,A5022023580|A5063354832|A5070801173|A5032482559
W2909058911,2019.0,11,A5014647140
W3005803580,2019.0,11,A5012993271|A5090197777|A5011228873|A5067301450|A5037829206
W3150041307,2021.0,11,A5039995516
W4280522445,2022.0,11,A5068906697|A5047301239|A5039370883|A5080162030|A5063847107|A5008291667|A5075927708
W2060635655,2011.0,13,A5018108132|A5044404041
W2561625716,2004.0,13,A5080093407|A5018108132
W2155627645,2011.0,11,A5000415140|A5084074695|A5018108132
W91442942,2011.0,1013,A5007374520|A5073180325|A5020318194|A5039841997|A5021346979|A5011228873
W2739215991,2017.0,242,A5063327692|A5056583184|A5031461158|A5011228873|A5021346979
W2963062084,2017.0,236,A5031461158|A5078699564|A5050099046|A5021346979|A5011228873
W1964521983,2013.0,49,A5078699564|A5031461158|A5021346979|A5011228873
W3123712503,2018.0,49,A5012993271|A5090197777|A5067301450|A5011228873
W3107549912,2020.0,35,A5011168888|A5030987696|A5014647140|A5054707908|A5080732494|A5000679279
W2125588541,2007.0,31,A5083914559|A5018108132
W1639158453,2005.0,29,A5014647140|A5000038347
W2618525519,2017.0,24,A5083494527|A5053294269|A5046449396
W2741203057,2017.0,21,A5083830744|A5015249696|A5008132739
W2141088861,2007.0,17,A5046449396|A5011822190
W3214625496,2021.0,17,A5019872513|A5064296964|A5047234002|A5035743198
W3016828342,2020.0,15,A5059294229|A5039995516
W3153861127,2021.0,15,A5013385420|A5037994930|A5070356107|A5054574752|A5011228873|A5021346979|A5031312546
W1729157025,2011.0,13,A5082953212|A5045620226|A5014647140
W2949362199,2013.0,13,A5103810699|A5073180325|A5031799782|A5039841997|A5084282503|A5022272025|A5036258938|A5021346979|A5011228873
W2950857600,2015.0,12,A5039072983|A5110662445|A5070920982|A5046348432
W2138451337,1991.0,13694,A5085409762|A5007176508
W2098693229,2002.0,5198,A5085409762|A5007176508
W2140235142,1997.0,4148,A5109203386|A5055068182|A5029105520|A5007176508
W4214532600,2012.0,2774,A5030852680|A5054478253
W2120220258,2010.0,2549,A5028277052|A5043896474|A5007176508|A5043737321|A5079825006
W2166692930,2009.0,1882,A5111940488|A5007176508|A5013670125
W2099147692,2013.0,1760,A5030852680|A5054478253
W2115213191,2000.0,1568,A5013727792|A5046823814|A5007176508
W2970785670,2016.0,1225,A5030852680|A5054478253
W2087936817,2014.0,1135,A5075165921|A5072871852|A5007176508
W2160947254,1997.0,914,A5070348998|A5007176508
W3104758113,2019.0,906,A5018986925|A5062969234
W2121319388,2011.0,660,A5054478253|A5030852680
